User Name,Learning Path Title,Average Rating
Erik Gamble,Data Science,83.5
Erik Gamble,Business Analysis,77.0
Erik Gamble,Blockchain Technology,89.0
Erik Gamble,Human Resources,77.0
Erik Gamble,Machine Learning,78.0
Erik Gamble,IT Support,75.0
Erik Gamble,Artificial Intelligence,88.0
Sarah Clark,Data Science,83.6
Sarah Clark,Business Analysis,72.0
Sarah Clark,Project Management,76.0
Sarah Clark,Cybersecurity,81.0
Sarah Clark,Finance Basics,77.0
Sarah Clark,Game Development,87.0
Sarah Clark,DevOps,85.0
Sarah Clark,Sales Skills,75.0
Sarah Clark,UI/UX Design,76.0
Kelly Baldwin,Data Science,90.0
Kelly Baldwin,Business Analysis,81.0
Kelly Baldwin,Machine Learning,92.5
Kelly Baldwin,IT Support,70.0
Kelly Baldwin,Web Development,88.0
Kelly Baldwin,Cybersecurity,84.0
Kelly Baldwin,UI/UX Design,92.0
Mia Andrews,Business Analysis,78.0
Mia Andrews,Data Science,80.0
Mia Andrews,Artificial Intelligence,83.0
Mia Andrews,Finance Basics,81.0
Mia Andrews,Sales Skills,88.0
Mia Andrews,Full Stack Development,94.0
Mia Andrews,UI/UX Design,73.0
Andrea Smith,Data Science,79.17
Andrea Smith,Business Analysis,75.0
Andrea Smith,Machine Learning,87.0
Andrea Smith,Sales Skills,81.0
Andrea Smith,Blockchain Technology,78.0
Andrea Smith,IT Support,85.0
Mitchell Thomas,Data Science,78.33
Mitchell Thomas,Business Analysis,82.5
Mitchell Thomas,Cybersecurity,87.0
Mitchell Thomas,UI/UX Design,89.0
Mitchell Thomas,DevOps,76.0
Mitchell Thomas,Full Stack Development,88.5
Mitchell Thomas,Web Development,90.0
Mitchell Thomas,Mobile App Development,83.0
Mitchell Thomas,Artificial Intelligence,78.0
William Thompson,Data Science,80.0
William Thompson,Business Analysis,80.5
William Thompson,Machine Learning,77.0
William Thompson,Human Resources,79.0
William Thompson,Blockchain Technology,80.0
William Thompson,DevOps,79.0
William Thompson,Artificial Intelligence,77.5
Frank Parker,Data Science,76.5
Frank Parker,Business Analysis,79.0
Frank Parker,Web Development,91.0
Frank Parker,Digital Marketing,86.0
Frank Parker,Content Creation,79.0
Frank Parker,Blockchain Technology,84.0
Frank Parker,Human Resources,86.0
Frank Parker,Cloud Computing,79.0
Frank Parker,Full Stack Development,83.0
Alicia Smith,Business Analysis,85.5
Alicia Smith,Data Science,84.5
Alicia Smith,Human Resources,73.0
Alicia Smith,Game Development,71.0
Alicia Smith,Sales Skills,85.0
Alicia Smith,Finance Basics,66.0
Alicia Smith,UI/UX Design,71.0
Alicia Smith,Full Stack Development,93.0
Robert Tran,Data Science,80.5
Robert Tran,Business Analysis,73.0
Robert Tran,Game Development,80.33
Robert Tran,Cybersecurity,77.0
Robert Tran,UI/UX Design,77.0
Robert Tran,Machine Learning,74.0
Robert Tran,Project Management,89.0
Robert Tran,Web Development,72.0
Robert Tran,Human Resources,69.0
David Levy,Data Science,77.0
David Levy,Business Analysis,85.0
David Levy,Blockchain Technology,83.0
David Levy,Full Stack Development,81.0
David Levy,Cybersecurity,79.0
Philip Evans,Data Science,83.5
Philip Evans,Business Analysis,69.0
Philip Evans,Full Stack Development,90.0
Philip Evans,Mobile App Development,82.0
Philip Evans,Blockchain Technology,84.0
Philip Evans,Web Development,79.0
Philip Evans,Content Creation,69.0
Philip Evans,Game Development,86.0
Philip Evans,Finance Basics,67.0
Philip Evans,Cybersecurity,91.0
Philip Evans,Sales Skills,80.0
Philip Evans,Human Resources,88.0
Heather Bender,Business Analysis,86.0
Heather Bender,Data Science,79.5
Heather Bender,Web Development,77.0
Heather Bender,Machine Learning,82.0
Heather Bender,Mobile App Development,79.0
Lisa Jones,Data Science,80.5
Lisa Jones,Business Analysis,87.0
Lisa Jones,IT Support,80.0
Lisa Jones,Cybersecurity,74.0
Lisa Jones,Full Stack Development,72.67
Lisa Jones,Sales Skills,85.0
Lisa Jones,Artificial Intelligence,66.0
Patricia Graves,Business Analysis,95.0
Patricia Graves,Data Science,77.0
Patricia Graves,Cloud Computing,84.0
Patricia Graves,Sales Skills,76.5
Patricia Graves,UI/UX Design,87.0
Patricia Graves,Digital Marketing,74.0
Cheryl Bishop,Data Science,82.5
Cheryl Bishop,Business Analysis,83.5
Cheryl Bishop,Game Development,67.0
Cheryl Bishop,Digital Marketing,84.0
Cheryl Bishop,Content Creation,83.0
Cheryl Bishop,Human Resources,86.0
Cheryl Bishop,Finance Basics,74.0
Cheryl Bishop,IT Support,76.0
Cheryl Bishop,DevOps,80.0
Cheryl Bishop,Artificial Intelligence,72.0
Cheryl Bishop,Web Development,81.0
Rachel Jones,Data Science,86.75
Rachel Jones,Business Analysis,75.0
Rachel Jones,Digital Marketing,71.0
Rachel Jones,Human Resources,72.0
Rachel Jones,Cloud Computing,76.0
Rachel Jones,Artificial Intelligence,94.0
Rachel Jones,Full Stack Development,74.0
Rachel Jones,Content Creation,81.0
Rachel Jones,Finance Basics,69.0
Joseph Sexton,Business Analysis,84.0
Joseph Sexton,Data Science,77.75
Joseph Sexton,Digital Marketing,82.5
Joseph Sexton,Game Development,89.0
Joseph Sexton,Finance Basics,78.0
Joseph Sexton,Content Creation,81.0
Joseph Sexton,Cloud Computing,67.0
Joseph Sexton,Full Stack Development,83.0
Joseph Sexton,Cybersecurity,81.0
Valerie Ayala,Data Science,74.75
Valerie Ayala,Business Analysis,87.0
Valerie Ayala,Cybersecurity,84.5
Valerie Ayala,Blockchain Technology,74.0
Valerie Ayala,Content Creation,86.0
Valerie Ayala,Game Development,96.0
Valerie Ayala,Sales Skills,75.0
Valerie Ayala,Human Resources,79.0
Valerie Ayala,Project Management,66.0
Frank Green,Data Science,81.4
Frank Green,Business Analysis,72.0
Frank Green,UI/UX Design,87.0
Frank Green,Human Resources,77.33
Frank Green,Artificial Intelligence,86.0
Frank Green,Machine Learning,82.0
Frank Green,IT Support,93.0
Frank Green,DevOps,81.0
Frank Green,Digital Marketing,73.0
Alexis Pugh,Business Analysis,83.0
Alexis Pugh,Data Science,79.25
Alexis Pugh,Sales Skills,79.0
Alexis Pugh,DevOps,73.0
Alexis Pugh,Project Management,78.0
Alexis Pugh,Cloud Computing,73.5
Alexis Pugh,Full Stack Development,83.0
