User Name,Course Title,Progress (%),Assignment Date
Erik Gamble,Data Ethics,100,2024-10-21 05:27:58.294000
Erik Gamble,Data Analysis for Business Decisions,100,2024-10-21 05:27:58.294000
Erik Gamble,Data Visualization with Matplotlib,100,2024-10-21 05:27:58.294000
Erik Gamble,Data Analysis with Pandas,100,2024-10-21 05:27:58.294000
Erik Gamble,Data Cleaning & Preprocessing,100,2024-10-21 05:27:58.294000
Erik Gamble,Cryptocurrency Fundamentals,100,2024-10-21 05:27:58.294000
Erik Gamble,SWOT Analysis for Business,100,2024-10-21 05:27:58.294000
Erik Gamble,HR Technology Tools,100,2024-10-21 05:27:58.294000
Erik Gamble,Introduction to Machine Learning,100,2024-10-21 05:27:58.294000
Erik Gamble,Operating Systems Overview,100,2024-10-21 05:27:58.294000
Erik Gamble,AI for Business,100,2024-10-21 05:27:58.294000
Sarah Clark,Data Visualization with Matplotlib,100,2024-10-21 05:27:58.294000
Sarah Clark,Data Ethics,100,2024-10-21 05:27:58.294000
Sarah Clark,Data Cleaning & Preprocessing,100,2024-10-21 05:27:58.294000
Sarah Clark,Data Analysis with Pandas,100,2024-10-21 05:27:58.294000
Sarah Clark,Data Analysis for Business Decisions,100,2024-10-21 05:27:58.294000
Sarah Clark,Risk Management in Projects,100,2024-10-21 05:27:58.294000
Sarah Clark,Python for Data Science,100,2024-10-21 05:27:58.294000
Sarah Clark,Malware Analysis,100,2024-10-21 05:27:58.294000
Sarah Clark,Budgeting Basics,100,2024-10-21 05:27:58.294000
Sarah Clark,Game Monetization Strategies,100,2024-10-21 05:27:58.294000
Sarah Clark,Automating Cloud Deployments,100,2024-10-21 05:27:58.295000
Sarah Clark,Understanding Consumer Behavior,100,2024-10-21 05:27:58.295000
Sarah Clark,User Research Techniques,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Data Ethics,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Data Cleaning & Preprocessing,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Data Analysis for Business Decisions,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Data Visualization with Matplotlib,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Reinforcement Learning,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Networking Basics,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Web Accessibility Standards,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Web Application Security,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Mobile App Design,100,2024-10-21 05:27:58.295000
Kelly Baldwin,Unsupervised Learning,100,2024-10-21 05:27:58.295000
Mia Andrews,Data Analysis for Business Decisions,100,2024-10-21 05:27:58.295000
Mia Andrews,Data Visualization with Matplotlib,100,2024-10-21 05:27:58.295000
Mia Andrews,Data Cleaning & Preprocessing,100,2024-10-21 05:27:58.295000
Mia Andrews,Data Analysis with Pandas,100,2024-10-21 05:27:58.295000
Mia Andrews,AI for Business,100,2024-10-21 05:27:58.295000
