User Name,Course Title,Quiz Score,Engagement Score,Assignment Grade,Overall Rating
Erik Gamble,Data Ethics,95.0,94,90,94
Erik Gamble,Data Analysis for Business Decisions,81.0,91,74,83
Erik Gamble,Data Visualization with Matplotlib,71.0,89,62,75
Erik Gamble,Data Analysis with Pandas,71.0,78,69,77
Erik Gamble,Data Cleaning & Preprocessing,98.0,90,71,88
Erik Gamble,Cryptocurrency Fundamentals,76.0,84,97,89
Erik Gamble,SWOT Analysis for Business,62.0,54,68,71
Erik Gamble,HR Technology Tools,67.0,87,72,77
Erik Gamble,Introduction to Machine Learning,82.0,63,65,78
Erik Gamble,Operating Systems Overview,65.0,94,65,75
Erik Gamble,AI for Business,85.0,52,93,88
Sarah Clark,Data Visualization with Matplotlib,81.0,81,75,83
Sarah Clark,Data Ethics,99.0,83,89,94
Sarah Clark,Data Cleaning & Preprocessing,84.0,65,85,86
Sarah Clark,Data Analysis with Pandas,75.0,83,64,77
Sarah Clark,Data Analysis for Business Decisions,50.0,85,73,72
Sarah Clark,Risk Management in Projects,60.0,100,71,76
Sarah Clark,Python for Data Science,79.0,54,72,78
Sarah Clark,Malware Analysis,57.0,57,100,81
Sarah Clark,Budgeting Basics,80.0,54,67,77
Sarah Clark,Game Monetization Strategies,82.0,97,83,87
Sarah Clark,Automating Cloud Deployments,66.0,94,92,85
Sarah Clark,Understanding Consumer Behavior,61.0,57,80,75
Sarah Clark,User Research Techniques,75.0,94,59,76
Kelly Baldwin,Data Ethics,81.0,81,89,88
Kelly Baldwin,Data Cleaning & Preprocessing,96.0,68,91,92
Kelly Baldwin,Data Analysis for Business Decisions,83.0,68,71,81
Kelly Baldwin,Data Visualization with Matplotlib,99.0,80,77,90
Kelly Baldwin,Reinforcement Learning,100.0,71,95,95
Kelly Baldwin,Networking Basics,64.0,73,59,70
Kelly Baldwin,Web Accessibility Standards,94.0,86,77,88
Kelly Baldwin,Web Application Security,81.0,91,76,84
Kelly Baldwin,Mobile App Design,88.0,98,91,92
Kelly Baldwin,Unsupervised Learning,91.0,98,81,90
Mia Andrews,Data Analysis for Business Decisions,90.0,83,53,78
Mia Andrews,Data Visualization with Matplotlib,97.0,66,72,86
Mia Andrews,Data Cleaning & Preprocessing,90.0,73,78,86
Mia Andrews,Data Analysis with Pandas,90.0,59,55,77
Mia Andrews,AI for Business,83.0,87,73,83
Mia Andrews,Financial Analysis Techniques,79.0,57,78,81
Mia Andrews,Digital Sales Techniques,81.0,79,91,88
Mia Andrews,Big Data with Spark,55.0,58,73,71
Mia Andrews,React,96.0,53,100,94
Mia Andrews,Visual Design Basics,53.0,55,83,73
Andrea Smith,Data Ethics,65.0,57,86,79
Andrea Smith,Data Visualization with Matplotlib,68.0,86,68,76
Andrea Smith,Data Cleaning & Preprocessing,70.0,89,62,75
Andrea Smith,Data Analysis for Business Decisions,75.0,64,65,75
Andrea Smith,Data Analysis with Pandas,68.0,61,93,82
Andrea Smith,Big Data with Spark,82.0,94,75,84
Andrea Smith,Deep Learning Fundamentals,74.0,87,93,87
Andrea Smith,Digital Sales Techniques,52.0,75,100,81
Andrea Smith,Machine Learning Basics,73.0,81,73,79
Andrea Smith,Sales Analytics,60.0,77,92,81
Andrea Smith,Blockchain Use Cases,83.0,83,60,78
Andrea Smith,Customer Service Skills for IT,89.0,99,68,85
Mitchell Thomas,Data Visualization with Matplotlib,65.0,59,85,78
Mitchell Thomas,Data Analysis with Pandas,80.0,68,99,89
Mitchell Thomas,Data Cleaning & Preprocessing,53.0,92,58,68
Mitchell Thomas,Data Analysis for Business Decisions,74.0,54,60,72
Mitchell Thomas,Vulnerability Assessment,69.0,92,95,87
Mitchell Thomas,Design Thinking Process,86.0,65,92,89
Mitchell Thomas,Infrastructure as Code,56.0,50,89,76
Mitchell Thomas,Presentation Skills for Business Analysts,99.0,86,86,93
Mitchell Thomas,API Development,94.0,68,85,89
Mitchell Thomas,Web Performance Optimization,92.0,64,90,90
Mitchell Thomas,Cross-Platform Development with Flutter,77.0,60,85,83
Mitchell Thomas,AI in Robotics,75.0,99,63,78
Mitchell Thomas,MongoDB,93.0,62,83,88
William Thompson,Data Analysis with Pandas,85.0,99,80,88
William Thompson,Data Visualization with Matplotlib,64.0,87,82,80
William Thompson,Data Ethics,59.0,74,72,73
William Thompson,Data Cleaning & Preprocessing,59.0,88,85,79
William Thompson,Data Analysis for Business Decisions,87.0,54,98,90
William Thompson,Introduction to Machine Learning,81.0,90,57,77
William Thompson,Employee Engagement Techniques,92.0,63,59,79
William Thompson,Smart Contracts Development,57.0,81,92,80
William Thompson,Version Control with Git,55.0,82,71,72
William Thompson,Requirements Gathering Techniques,56.0,74,68,71
William Thompson,Infrastructure as Code,94.0,54,80,86
William Thompson,AI in Healthcare,67.0,81,94,84
William Thompson,AI for Business,78.0,56,53,71
Frank Parker,Data Cleaning & Preprocessing,73.0,95,87,86
Frank Parker,Data Analysis for Business Decisions,85.0,82,61,79
Frank Parker,Data Analysis with Pandas,73.0,64,85,82
Frank Parker,Data Visualization with Matplotlib,65.0,59,51,66
Frank Parker,Data Ethics,52.0,88,72,72
Frank Parker,JavaScript Frameworks Overview,93.0,74,89,91
Frank Parker,Content Marketing Strategies,74.0,64,96,86
Frank Parker,Editing and Proofreading Techniques,87.0,60,65,79
Frank Parker,Decentralized Applications (DApps),76.0,70,86,84
Frank Parker,Labor Laws and Compliance,70.0,86,94,86
Frank Parker,Cloud Cost Management,82.0,72,65,79
Frank Parker,JavaScript Basics,91.0,90,63,83
Alicia Smith,Data Analysis for Business Decisions,94.0,56,78,86
Alicia Smith,Data Ethics,59.0,53,79,74
Alicia Smith,Data Visualization with Matplotlib,98.0,73,70,86
Alicia Smith,Data Cleaning & Preprocessing,84.0,98,78,86
Alicia Smith,Data Analysis with Pandas,98.0,86,82,92
Alicia Smith,Business Process Modeling,90.0,72,74,85
Alicia Smith,Labor Laws and Compliance,71.0,76,59,73
Alicia Smith,Game Design Principles,51.0,78,73,71
Alicia Smith,Negotiation Techniques,100.0,50,71,85
Alicia Smith,Corporate Finance Essentials,51.0,93,53,66
Alicia Smith,Interaction Design Principles,71.0,72,59,73
Alicia Smith,Node.js,91.0,89,93,93
Alicia Smith,Introduction to UI/UX Design,60.0,73,60,69
Robert Tran,Data Visualization with Matplotlib,76.0,82,77,82
Robert Tran,Data Ethics,72.0,69,56,72
Robert Tran,Data Cleaning & Preprocessing,66.0,80,89,82
Robert Tran,Data Analysis for Business Decisions,80.0,63,53,73
Robert Tran,Data Analysis with Pandas,72.0,83,94,86
Robert Tran,Game Monetization Strategies,93.0,79,71,85
Robert Tran,Ethical Hacking Basics,50.0,92,86,77
Robert Tran,Design Thinking Process,92.0,56,55,77
Robert Tran,Model Evaluation,72.0,81,59,74
Robert Tran,Communication Skills for Project Managers,95.0,99,75,89
Robert Tran,Virtual Reality Development,67.0,68,76,77
Robert Tran,Responsive Web Design,50.0,58,82,72
Robert Tran,Game Design Principles,58.0,84,87,79
Robert Tran,Talent Acquisition Strategies,62.0,91,53,69
David Levy,Data Ethics,63.0,81,61,71
David Levy,Data Analysis with Pandas,84.0,94,86,89
David Levy,Data Analysis for Business Decisions,50.0,100,81,76
David Levy,Data Visualization with Matplotlib,89.0,78,59,80
David Levy,Data Cleaning & Preprocessing,57.0,97,52,68
David Levy,Ethereum Development,90.0,98,62,83
David Levy,Git & GitHub,69.0,84,82,81
David Levy,RESTful Services,74.0,67,80,81
David Levy,Change Management Strategies,94.0,77,95,94
David Levy,Incident Response,62.0,72,87,79
Philip Evans,Data Cleaning & Preprocessing,72.0,98,84,84
Philip Evans,Data Ethics,93.0,66,99,94
Philip Evans,Data Analysis for Business Decisions,64.0,64,59,69
Philip Evans,Data Visualization with Matplotlib,76.0,56,62,74
Philip Evans,Data Analysis with Pandas,71.0,92,81,82
Philip Evans,Express.js,86.0,80,92,90
Philip Evans,App Monetization Strategies,88.0,82,67,82
Philip Evans,Consensus Algorithms,61.0,88,98,84
Philip Evans,Web Performance Optimization,92.0,62,59,79
Philip Evans,Content Strategy Development,71.0,50,54,69
Philip Evans,Game Testing Techniques,79.0,98,83,86
Philip Evans,Personal Finance Skills,51.0,95,56,67
Philip Evans,Vulnerability Assessment,93.0,81,88,91
Philip Evans,Digital Sales Techniques,52.0,89,94,80
Philip Evans,HR Analytics,78.0,69,97,88
Heather Bender,Data Analysis for Business Decisions,86.0,54,88,86
Heather Bender,Data Ethics,87.0,65,51,75
Heather Bender,Data Visualization with Matplotlib,62.0,79,73,75
Heather Bender,Data Analysis with Pandas,75.0,67,100,88
Heather Bender,Data Cleaning & Preprocessing,82.0,95,61,80
Heather Bender,Responsive Web Design,87.0,54,59,76
Heather Bender,Introduction to Machine Learning,66.0,94,85,82
Heather Bender,App Monetization Strategies,93.0,58,59,79
Heather Bender,SEO Best Practices,67.0,80,86,82
Heather Bender,Web Performance Optimization,62.0,52,74,73
Lisa Jones,Data Cleaning & Preprocessing,67.0,65,98,84
Lisa Jones,Data Visualization with Matplotlib,61.0,56,89,78
Lisa Jones,Data Analysis for Business Decisions,98.0,75,71,87
Lisa Jones,Data Ethics,58.0,93,82,78
Lisa Jones,Data Analysis with Pandas,98.0,90,54,82
Lisa Jones,Customer Service Skills for IT,54.0,82,95,80
Lisa Jones,Network Security Fundamentals,53.0,84,77,74
Lisa Jones,Deployment & Hosting,93.0,79,67,84
Lisa Jones,Express.js,60.0,55,56,66
Lisa Jones,Customer Service Excellence,99.0,59,70,85
Lisa Jones,AI in Robotics,55.0,87,51,66
Lisa Jones,React,55.0,54,67,68
Patricia Graves,Data Analysis for Business Decisions,95.0,77,96,95
Patricia Graves,Data Visualization with Matplotlib,60.0,75,70,73
Patricia Graves,Data Ethics,98.0,59,58,80
Patricia Graves,Data Analysis with Pandas,79.0,60,55,73
Patricia Graves,Data Cleaning & Preprocessing,92.0,85,61,82
Patricia Graves,Microservices in Cloud,80.0,74,82,84
Patricia Graves,Sales Analytics,82.0,53,51,72
Patricia Graves,Interaction Design Principles,98.0,88,67,87
Patricia Graves,Understanding Consumer Behavior,91.0,52,68,81
Patricia Graves,Brand Management Online,78.0,73,64,77
Patricia Graves,Analytics for Marketers,64.0,97,53,71
Cheryl Bishop,Data Analysis with Pandas,58.0,71,83,76
Cheryl Bishop,Data Ethics,86.0,88,88,90
Cheryl Bishop,Data Visualization with Matplotlib,94.0,81,71,86
Cheryl Bishop,Data Analysis for Business Decisions,61.0,85,76,76
Cheryl Bishop,Data Cleaning & Preprocessing,83.0,58,67,78
Cheryl Bishop,Game Design Principles,59.0,82,52,67
Cheryl Bishop,SWOT Analysis for Business,91.0,97,84,91
Cheryl Bishop,Conversion Rate Optimization,85.0,70,79,84
Cheryl Bishop,Introduction to Content Creation,85.0,57,78,83
Cheryl Bishop,Employee Engagement Techniques,95.0,58,77,86
Cheryl Bishop,Personal Finance Skills,74.0,79,58,74
Cheryl Bishop,Hardware Repair Skills,52.0,58,92,76
Cheryl Bishop,Infrastructure as Code,81.0,76,70,80
Cheryl Bishop,Predictive Analytics,72.0,94,50,72
Cheryl Bishop,SEO Best Practices,61.0,60,95,81
Rachel Jones,Data Visualization with Matplotlib,52.0,66,85,75
Rachel Jones,Data Ethics,100.0,98,81,93
Rachel Jones,Data Analysis for Business Decisions,55.0,70,82,75
Rachel Jones,Data Cleaning & Preprocessing,99.0,63,76,88
Rachel Jones,Data Analysis with Pandas,95.0,95,82,91
Rachel Jones,Social Media Marketing,70.0,79,54,71
Rachel Jones,Conflict Resolution in HR,53.0,64,76,72
Rachel Jones,Introduction to Cloud Computing,85.0,65,55,76
Rachel Jones,Predictive Analytics,95.0,82,93,94
Rachel Jones,API Development,59.0,58,80,74
Rachel Jones,Social Media Content Creation,78.0,83,72,81
Rachel Jones,Financial Reporting Standards,50.0,94,63,69
Joseph Sexton,Data Analysis for Business Decisions,70.0,57,83,79
Joseph Sexton,Data Analysis with Pandas,64.0,57,75,74
Joseph Sexton,Data Visualization with Matplotlib,57.0,87,52,67
Joseph Sexton,Data Cleaning & Preprocessing,95.0,59,58,79
Joseph Sexton,Data Ethics,94.0,51,94,91
Joseph Sexton,Social Media Marketing,58.0,87,98,83
Joseph Sexton,Introduction to Business Analysis,92.0,90,79,89
Joseph Sexton,Introduction to Game Development,91.0,63,87,89
Joseph Sexton,Corporate Finance Essentials,67.0,99,70,78
Joseph Sexton,Content Marketing Strategies,71.0,68,86,82
Joseph Sexton,Graphic Design Basics for Content,87.0,92,61,81
Joseph Sexton,DevOps in the Cloud,50.0,56,69,67
Joseph Sexton,Git & GitHub,70.0,87,86,83
Joseph Sexton,Cryptography Basics,100.0,60,56,81
Valerie Ayala,Data Ethics,59.0,55,73,72
Valerie Ayala,Data Analysis for Business Decisions,76.0,62,98,87
Valerie Ayala,Data Cleaning & Preprocessing,60.0,63,62,69
Valerie Ayala,Data Analysis with Pandas,95.0,88,50,80
Valerie Ayala,Data Visualization with Matplotlib,67.0,60,81,78
Valerie Ayala,Cryptography Basics,67.0,100,97,87
Valerie Ayala,Risk Management in Cybersecurity,82.0,99,66,82
Valerie Ayala,Blockchain Security,83.0,70,50,74
Valerie Ayala,Podcasting Fundamentals,88.0,86,77,86
Valerie Ayala,3D Game Development,94.0,97,94,96
Valerie Ayala,Sales Analytics,86.0,59,53,75
Valerie Ayala,Talent Acquisition Strategies,59.0,73,90,79
Valerie Ayala,Risk Management in Projects,64.0,66,50,66
Frank Green,Data Cleaning & Preprocessing,82.0,91,67,81
Frank Green,Data Analysis for Business Decisions,75.0,53,58,72
Frank Green,Data Visualization with Matplotlib,81.0,100,78,86
Frank Green,Data Analysis with Pandas,84.0,50,69,79
Frank Green,Data Ethics,60.0,65,83,77
Frank Green,Visual Design Basics,78.0,82,89,87
Frank Green,Labor Laws and Compliance,85.0,55,69,79
Frank Green,Deep Learning with TensorFlow,76.0,52,93,84
Frank Green,Training and Development,52.0,87,60,68
Frank Green,HR Technology Tools,86.0,71,80,85
Frank Green,Reinforcement Learning Techniques,92.0,69,76,86
Frank Green,Reinforcement Learning,63.0,91,88,82
Frank Green,Introduction to IT Support,100.0,90,83,93
Frank Green,Collaboration Tools in DevOps,63.0,53,95,81
Frank Green,Email Marketing Basics,76.0,55,60,73
Alexis Pugh,Data Analysis for Business Decisions,85.0,59,77,83
Alexis Pugh,Data Ethics,76.0,90,91,87
Alexis Pugh,Data Analysis with Pandas,94.0,75,57,80
Alexis Pugh,Data Visualization with Matplotlib,76.0,68,71,78
Alexis Pugh,Data Cleaning & Preprocessing,53.0,57,80,72
Alexis Pugh,Presentation Skills for Sales,91.0,81,55,79
Alexis Pugh,Container Orchestration with Kubernetes,73.0,86,53,73
Alexis Pugh,Project Scheduling Techniques,62.0,62,86,78
Alexis Pugh,Introduction to Cloud Computing,73.0,82,82,82
Alexis Pugh,AWS Fundamentals,53.0,70,56,65
Alexis Pugh,MongoDB,64.0,57,99,83
Alexis Pugh,Editing and Proofreading Techniques,97.0,85,50,80
Alexis Pugh,AI in IoT,71.0,79,64,75
Alexis Pugh,Influencer Marketing,65.0,53,50,66
Alexis Pugh,AI in Robotics,76.0,72,76,80
Manuel Boyle,Data Visualization with Matplotlib,77.0,76,64,77
Manuel Boyle,Data Ethics,76.0,82,93,87
Manuel Boyle,Data Analysis with Pandas,93.0,62,94,92
Manuel Boyle,Data Cleaning & Preprocessing,85.0,97,95,93
Manuel Boyle,Data Analysis for Business Decisions,87.0,51,95,89
Manuel Boyle,Change Management,93.0,80,99,95
Manuel Boyle,Brand Management Online,61.0,70,76,75
Manuel Boyle,Usability Testing,97.0,59,54,79
Manuel Boyle,Agile Project Management,73.0,83,85,84
Manuel Boyle,2D Game Development,65.0,98,90,84
Manuel Boyle,Talent Acquisition Strategies,74.0,69,74,79
Ashley Moore,Data Analysis with Pandas,88.0,98,84,90
Ashley Moore,Data Cleaning & Preprocessing,57.0,86,71,73
Ashley Moore,Data Ethics,80.0,96,54,76
Ashley Moore,Data Visualization with Matplotlib,95.0,91,81,91
Ashley Moore,Data Analysis for Business Decisions,82.0,62,73,80
Ashley Moore,Collaboration Tools in DevOps,88.0,93,61,81
Ashley Moore,Publishing Mobile Apps,100.0,70,58,82
Ashley Moore,Virtual Reality Development,78.0,58,52,71
Ashley Moore,Ethics in AI,89.0,86,85,89
Ashley Moore,Digital Sales Techniques,74.0,51,66,74
Steven Miller,Data Ethics,53.0,87,81,76
Steven Miller,Data Analysis for Business Decisions,98.0,50,52,78
Steven Miller,Data Analysis with Pandas,69.0,87,87,83
Steven Miller,Data Visualization with Matplotlib,86.0,79,93,91
Steven Miller,Data Cleaning & Preprocessing,85.0,57,57,75
Steven Miller,Email Marketing Basics,91.0,61,98,92
Steven Miller,Version Control with Git,93.0,86,85,91
Steven Miller,Infrastructure as Code,51.0,74,59,66
Steven Miller,Progressive Web Apps (PWAs),91.0,70,82,88
Steven Miller,Agile Methodologies,64.0,53,73,73
Steven Miller,Requirements Gathering Techniques,84.0,98,66,82
Steven Miller,Introduction to UI/UX Design,76.0,94,82,85
Teresa Gonzalez,Data Visualization with Matplotlib,57.0,92,50,67
Teresa Gonzalez,Data Analysis for Business Decisions,65.0,68,92,82
Teresa Gonzalez,Data Analysis with Pandas,78.0,85,95,89
Teresa Gonzalez,Data Ethics,93.0,68,79,87
Teresa Gonzalez,Data Cleaning & Preprocessing,93.0,93,92,94
Teresa Gonzalez,Introduction to UI/UX Design,82.0,74,93,89
Teresa Gonzalez,Project Scheduling Techniques,97.0,100,98,98
Teresa Gonzalez,Ethics in AI,84.0,54,51,73
Teresa Gonzalez,HR Analytics,95.0,54,98,93
Teresa Gonzalez,Computer Vision Basics,77.0,85,85,85
Teresa Gonzalez,Network Security Fundamentals,70.0,86,97,87
Justin Ross,Data Ethics,65.0,86,85,81
Justin Ross,Data Cleaning & Preprocessing,72.0,92,57,74
Justin Ross,Data Analysis with Pandas,99.0,88,72,89
Justin Ross,Data Analysis for Business Decisions,96.0,81,80,90
Justin Ross,Data Visualization with Matplotlib,67.0,69,78,78
Justin Ross,Cryptocurrency Fundamentals,69.0,95,79,81
Justin Ross,Social Media Marketing,84.0,77,90,89
Justin Ross,iOS Development Basics,76.0,70,71,78
Justin Ross,Introduction to IT Support,79.0,68,73,80
Justin Ross,Influencer Marketing,94.0,61,69,83
Justin Ross,Personal Finance Skills,84.0,92,99,93
Justin Ross,Mobile App Design,66.0,52,56,68
Justin Ross,Model Evaluation,65.0,75,82,79
Justin Ross,Express.js,78.0,89,84,86
Justin Ross,Quality Management,68.0,89,70,77
Johnny Sullivan,Data Ethics,83.0,97,92,91
Johnny Sullivan,Data Analysis with Pandas,67.0,68,92,82
Johnny Sullivan,Data Visualization with Matplotlib,97.0,69,83,90
Johnny Sullivan,Data Analysis for Business Decisions,53.0,86,68,71
Johnny Sullivan,Data Cleaning & Preprocessing,56.0,90,61,70
Johnny Sullivan,Financial Analysis Techniques,69.0,67,79,78
