User Name,Course Title,Progress (%),Is Certified
Abigail Gray,Data Analysis with Pandas,100,True
Abigail Gray,Data Analysis for Business Decisions,100,False
Abigail Gray,Data Visualization with Matplotlib,100,False
Abigail Gray,Data Cleaning & Preprocessing,100,True
Abigail Gray,Data Ethics,100,True
Abigail Gray,Sales Fundamentals,100,False
Abigail Gray,User Interface Design for Mobile Apps,100,True
Abigail Gray,Risk Management in Finance,100,True
Abigail Gray,Customer Service Skills for IT,100,True
Abigail Gray,Social Media Content Creation,100,True
Abigail Gray,Hardware Repair Skills,100,False
Abigail Gray,Closing Sales Strategies,100,True
Michael Hodge,Data Visualization with Matplotlib,100,True
Michael Hodge,Data Analysis for Business Decisions,100,False
Michael Hodge,Data Cleaning & Preprocessing,100,True
Michael Hodge,Data Ethics,100,True
Michael Hodge,Data Analysis with Pandas,100,True
Michael Hodge,Risk Analysis and Management,100,True
Michael Hodge,Brand Management Online,100,False
Michael Hodge,Smart Contracts Development,100,False
Michael Hodge,Performance Optimization for Mobile Apps,100,False
Michael Hodge,App Monetization Strategies,100,False
Eric Zamora,Data Visualization with Matplotlib,100,True
Eric Zamora,Data Cleaning & Preprocessing,100,True
Eric Zamora,Data Analysis for Business Decisions,100,True
Eric Zamora,Data Analysis with Pandas,100,True
Eric Zamora,Data Ethics,100,True
Eric Zamora,Budgeting Basics,100,True
Eric Zamora,React,100,True
Eric Zamora,iOS Development Basics,100,True
Eric Zamora,Business Case Development,100,True
Eric Zamora,Cloud Security Best Practices,100,True
Eric Zamora,Introduction to Cloud Computing,100,True
Kimberly Erickson,Data Analysis for Business Decisions,100,True
Kimberly Erickson,Data Visualization with Matplotlib,100,True
Kimberly Erickson,Data Cleaning & Preprocessing,100,True
Kimberly Erickson,Data Analysis with Pandas,100,True
Kimberly Erickson,Quality Management,100,True
Kimberly Erickson,Talent Acquisition Strategies,100,False
Kimberly Erickson,Smart Contracts Development,100,True
Kimberly Erickson,Ethical Hacking Basics,100,True
Kimberly Erickson,Content Strategy Development,100,False
Kimberly Erickson,Financial Planning and Forecasting,100,False
Kimberly Erickson,Labor Laws and Compliance,100,False
Terry Palmer,Data Analysis for Business Decisions,100,True
Terry Palmer,Data Analysis with Pandas,100,True
Terry Palmer,Data Visualization with Matplotlib,100,False
Terry Palmer,Data Cleaning & Preprocessing,100,True
Terry Palmer,Data Ethics,100,False
Terry Palmer,Frontend Development Basics,100,False
Terry Palmer,Predictive Analytics,100,True
Terry Palmer,Big Data with Spark,100,False
Terry Palmer,Cloud Cost Management,100,False
Terry Palmer,Ethereum Development,100,True
Terry Palmer,Time Management for Sales,100,False
Terry Palmer,Cryptocurrency Fundamentals,100,False
Terry Palmer,Automating Cloud Deployments,100,True
Maria Roach,Data Ethics,100,True
Maria Roach,Data Analysis for Business Decisions,100,False
Maria Roach,Data Analysis with Pandas,100,False
