User Name,Learning Path Title,Average Rating
Abigail Gray,Data Science,78.75
Abigail Gray,Business Analysis,70.0
Abigail Gray,Sales Skills,75.5
Abigail Gray,Mobile App Development,81.0
Abigail Gray,Finance Basics,85.0
Abigail Gray,IT Support,77.0
Abigail Gray,Content Creation,83.0
Michael Hodge,Data Science,82.75
Michael Hodge,Business Analysis,78.0
Michael Hodge,Digital Marketing,74.0
Michael Hodge,Blockchain Technology,65.0
Michael Hodge,Mobile App Development,73.0
Eric Zamora,Data Science,84.0
Eric Zamora,Business Analysis,91.0
Eric Zamora,Finance Basics,80.0
Eric Zamora,Full Stack Development,78.0
Eric Zamora,Mobile App Development,80.0
Eric Zamora,Cloud Computing,87.0
Kimberly Erickson,Business Analysis,87.0
Kimberly Erickson,Data Science,79.67
Kimberly Erickson,Project Management,79.0
Kimberly Erickson,Human Resources,70.0
Kimberly Erickson,Blockchain Technology,80.0
Kimberly Erickson,Cybersecurity,79.0
Kimberly Erickson,Content Creation,70.0
Kimberly Erickson,Finance Basics,71.0
Terry Palmer,Business Analysis,83.0
Terry Palmer,Data Science,76.0
Terry Palmer,Web Development,71.0
Terry Palmer,Artificial Intelligence,84.0
Terry Palmer,Cloud Computing,75.0
Terry Palmer,Blockchain Technology,81.0
Terry Palmer,Sales Skills,75.0
Terry Palmer,DevOps,84.0
Maria Roach,Data Science,78.75
Maria Roach,Business Analysis,70.0
Maria Roach,Cybersecurity,94.0
Maria Roach,Sales Skills,78.0
Maria Roach,Content Creation,75.0
Maria Roach,Mobile App Development,75.0
Richard Jones,Data Science,85.0
Richard Jones,Business Analysis,74.0
Richard Jones,Project Management,75.0
Richard Jones,Full Stack Development,68.0
Richard Jones,Machine Learning,92.0
Richard Jones,Cloud Computing,88.0
Richard Jones,Human Resources,71.0
Richard Jones,Mobile App Development,84.0
David Hall,Data Science,77.5
David Hall,Business Analysis,80.0
David Hall,Digital Marketing,79.5
David Hall,IT Support,64.0
David Hall,Game Development,88.0
David Hall,Machine Learning,84.0
David Hall,Full Stack Development,86.0
David Hall,Cloud Computing,91.0
David Hall,Artificial Intelligence,79.0
Chelsea Roman,Business Analysis,74.0
Chelsea Roman,Data Science,74.25
Chelsea Roman,Web Development,88.0
Chelsea Roman,Machine Learning,80.0
Chelsea Roman,IT Support,79.0
Chelsea Roman,Game Development,88.0
