User Name,Course Title,Progress (%),Assignment Date
Alan Hernandez,Data Ethics,100,2024-10-14 14:37:06.783000
Alan Hernandez,Data Visualization with Matplotlib,100,2024-10-14 14:37:06.783000
Alan Hernandez,Data Cleaning & Preprocessing,100,2024-10-14 14:37:06.783000
Alan Hernandez,Data Analysis with Pandas,100,2024-10-14 14:37:06.783000
Alan Hernandez,Data Analysis for Business Decisions,100,2024-10-14 14:37:06.783000
Alan Hernandez,Statistical Analysis,100,2024-10-14 14:37:06.783000
Alan Hernandez,Wireframing and Prototyping,100,2024-10-14 14:37:06.783000
Alan Hernandez,Git & GitHub,100,2024-10-14 14:37:06.783000
Alan Hernandez,Investing Fundamentals,100,2024-10-14 14:37:06.783000
Alan Hernandez,Labor Laws and Compliance,100,2024-10-14 14:37:06.783000
Lisa Stevens,Data Ethics,100,2024-10-14 14:37:06.783000
Lisa Stevens,Data Cleaning & Preprocessing,100,2024-10-14 14:37:06.783000
Lisa Stevens,Data Analysis for Business Decisions,100,2024-10-14 14:37:06.783000
Lisa Stevens,Data Analysis with Pandas,100,2024-10-14 14:37:06.783000
Lisa Stevens,Data Visualization with Matplotlib,100,2024-10-14 14:37:06.783000
Lisa Stevens,Introduction to Content Creation,100,2024-10-14 14:37:06.783000
Lisa Stevens,HR Analytics,100,2024-10-14 14:37:06.783000
Lisa Stevens,SEO Best Practices,100,2024-10-14 14:37:06.783000
Lisa Stevens,Android Development Basics,100,2024-10-14 14:37:06.783000
Lisa Stevens,Computer Vision Applications,100,2024-10-14 14:37:06.783000
Lisa Stevens,Stakeholder Analysis,100,2024-10-14 14:37:06.783000
Lisa Stevens,Financial Planning and Forecasting,100,2024-10-14 14:37:06.783000
Lisa Stevens,Interaction Design Principles,100,2024-10-14 14:37:06.783000
Lisa Stevens,Introduction to Human Resources,100,2024-10-14 14:37:06.785000
Lisa Stevens,Performance Optimization for Mobile Apps,100,2024-10-14 14:37:06.785000
James Lewis,Data Ethics,100,2024-10-14 14:37:06.785000
James Lewis,Data Visualization with Matplotlib,100,2024-10-14 14:37:06.785000
James Lewis,Data Analysis for Business Decisions,100,2024-10-14 14:37:06.785000
James Lewis,Data Analysis with Pandas,100,2024-10-14 14:37:06.785000
James Lewis,Data Cleaning & Preprocessing,100,2024-10-14 14:37:06.785000
James Lewis,Python for Data Science,100,2024-10-14 14:37:06.785000
James Lewis,Network Security Fundamentals,100,2024-10-14 14:37:06.785000
James Lewis,E-commerce Development Basics,100,2024-10-14 14:37:06.785000
James Lewis,Web Performance Optimization,100,2024-10-14 14:37:06.785000
James Lewis,Mobile App Security,100,2024-10-14 14:37:06.785000
James Lewis,Quality Management,100,2024-10-14 14:37:06.785000
Tyler Hampton,Data Visualization with Matplotlib,100,2024-10-14 14:37:06.785000
Tyler Hampton,Data Analysis for Business Decisions,100,2024-10-14 14:37:06.785000
Tyler Hampton,Data Cleaning & Preprocessing,100,2024-10-14 14:37:06.785000
Tyler Hampton,Data Ethics,100,2024-10-14 14:37:06.785000
Tyler Hampton,Data Analysis with Pandas,100,2024-10-14 14:37:06.785000
Tyler Hampton,Troubleshooting Techniques,100,2024-10-14 14:37:06.785000
