User Name,Course Title,Quiz Score,Engagement Score,Assignment Grade,Overall Rating
Alan Hernandez,Data Ethics,91.0,80,59,80
Alan Hernandez,Data Visualization with Matplotlib,63.0,92,68,75
Alan Hernandez,Data Cleaning & Preprocessing,84.0,54,98,89
Alan Hernandez,Data Analysis with Pandas,79.0,87,95,90
Alan Hernandez,Data Analysis for Business Decisions,62.0,98,76,78
Alan Hernandez,Statistical Analysis,69.0,83,84,82
Alan Hernandez,Wireframing and Prototyping,62.0,60,58,68
Alan Hernandez,Git & GitHub,69.0,71,91,83
Alan Hernandez,Investing Fundamentals,60.0,97,67,74
Alan Hernandez,Labor Laws and Compliance,69.0,91,86,83
Lisa Stevens,Data Ethics,60.0,64,58,68
Lisa Stevens,Data Cleaning & Preprocessing,51.0,81,76,73
Lisa Stevens,Data Analysis for Business Decisions,56.0,80,93,80
Lisa Stevens,Data Analysis with Pandas,100.0,80,52,81
Lisa Stevens,Data Visualization with Matplotlib,70.0,56,100,85
Lisa Stevens,Introduction to Content Creation,73.0,59,76,78
Lisa Stevens,HR Analytics,53.0,65,66,68
Lisa Stevens,SEO Best Practices,66.0,90,62,74
Lisa Stevens,Android Development Basics,97.0,100,63,86
Lisa Stevens,Computer Vision Applications,57.0,68,82,75
Lisa Stevens,Stakeholder Analysis,73.0,97,91,87
Lisa Stevens,Financial Planning and Forecasting,63.0,98,99,86
Lisa Stevens,Interaction Design Principles,69.0,100,92,86
Lisa Stevens,Introduction to Human Resources,80.0,52,66,76
Lisa Stevens,Performance Optimization for Mobile Apps,87.0,97,82,89
James Lewis,Data Ethics,61.0,62,74,73
James Lewis,Data Visualization with Matplotlib,86.0,61,94,89
James Lewis,Data Analysis for Business Decisions,59.0,88,96,83
James Lewis,Data Analysis with Pandas,90.0,84,50,77
James Lewis,Data Cleaning & Preprocessing,85.0,94,60,80
James Lewis,Python for Data Science,50.0,96,61,68
James Lewis,Network Security Fundamentals,54.0,74,66,69
James Lewis,E-commerce Development Basics,72.0,88,87,84
James Lewis,Web Performance Optimization,94.0,100,84,92
James Lewis,Mobile App Security,93.0,76,71,85
James Lewis,Quality Management,88.0,82,55,78
Tyler Hampton,Data Visualization with Matplotlib,52.0,76,63,68
Tyler Hampton,Data Analysis for Business Decisions,96.0,68,61,82
Tyler Hampton,Data Cleaning & Preprocessing,76.0,85,73,81
Tyler Hampton,Data Ethics,81.0,70,95,89
Tyler Hampton,Data Analysis with Pandas,92.0,63,52,77
Tyler Hampton,Troubleshooting Techniques,60.0,75,65,71
Tyler Hampton,Ethical Hacking Basics,72.0,91,59,75
Tyler Hampton,Customer Service Excellence,67.0,82,59,72
Tyler Hampton,Natural Language Processing Techniques,51.0,91,85,77
Tyler Hampton,Computer Vision Basics,65.0,51,81,76
Tyler Hampton,Game Monetization Strategies,50.0,89,64,69
Tyler Hampton,Design Thinking Process,93.0,100,94,95
Tyler Hampton,Personal Finance Skills,74.0,88,55,74
Christopher Simmons,Data Analysis with Pandas,70.0,76,61,73
Christopher Simmons,Data Visualization with Matplotlib,53.0,84,69,71
Christopher Simmons,Data Ethics,90.0,54,51,75
Christopher Simmons,Data Cleaning & Preprocessing,69.0,67,51,69
Christopher Simmons,Data Analysis for Business Decisions,93.0,80,88,91
Christopher Simmons,Networking Basics,57.0,64,99,81
Christopher Simmons,Publishing Mobile Apps,74.0,59,71,77
Christopher Simmons,Automating Cloud Deployments,67.0,81,69,76
Christopher Simmons,JavaScript Frameworks Overview,64.0,63,94,82
Christopher Simmons,Building Customer Relationships,70.0,77,97,86
Christopher Simmons,Design Thinking Process,75.0,66,86,83
Christopher Simmons,Azure Basics,91.0,90,91,93
Christopher Simmons,Sales Analytics,65.0,67,96,83
Christopher Simmons,Tokenomics,69.0,71,68,75
Christopher Simmons,Hardware Repair Skills,78.0,64,100,89
Brian Fowler,Data Cleaning & Preprocessing,74.0,89,97,89
Brian Fowler,Data Ethics,85.0,78,75,84
Brian Fowler,Data Visualization with Matplotlib,98.0,88,63,85
