user_id,Learning Path ID,Total Certifications,Average Performance,id,User Name
1.0,1.0,10,83.0,1,Alan Hernandez
1.0,2.0,10,83.2,1,Alan Hernandez
1.0,13.0,10,68.0,1,Alan Hernandez
1.0,17.0,10,78.0,1,Alan Hernandez
1.0,18.0,10,83.0,1,Alan Hernandez
1.0,19.0,10,74.0,1,Alan Hernandez
2.0,2.0,15,76.75,2,Lisa Stevens
2.0,6.0,15,87.5,2,Lisa Stevens
2.0,8.0,15,74.0,2,Lisa Stevens
2.0,12.0,15,75.0,2,Lisa Stevens
2.0,13.0,15,86.0,2,Lisa Stevens
2.0,17.0,15,83.5,2,Lisa Stevens
2.0,18.0,15,72.0,2,Lisa Stevens
2.0,19.0,15,86.0,2,Lisa Stevens
2.0,20.0,15,78.0,2,Lisa Stevens
3.0,2.0,11,77.4,3,James Lewis
3.0,4.0,11,69.0,3,James Lewis
3.0,6.0,11,85.0,3,James Lewis
3.0,8.0,11,88.0,3,James Lewis
3.0,15.0,11,78.0,3,James Lewis
3.0,17.0,11,83.0,3,James Lewis
4.0,2.0,13,78.75,4,Tyler Hampton
4.0,3.0,13,76.5,4,Tyler Hampton
4.0,4.0,13,75.0,4,Tyler Hampton
4.0,9.0,13,69.0,4,Tyler Hampton
4.0,13.0,13,95.0,4,Tyler Hampton
4.0,14.0,13,71.0,4,Tyler Hampton
4.0,16.0,13,72.0,4,Tyler Hampton
4.0,17.0,13,82.0,4,Tyler Hampton
4.0,19.0,13,74.0,4,Tyler Hampton
5.0,2.0,15,72.0,5,Christopher Simmons
5.0,5.0,15,93.0,5,Christopher Simmons
5.0,6.0,15,77.0,5,Christopher Simmons
5.0,7.0,15,76.0,5,Christopher Simmons
5.0,8.0,15,82.0,5,Christopher Simmons
5.0,11.0,15,75.0,5,Christopher Simmons
5.0,13.0,15,83.0,5,Christopher Simmons
5.0,14.0,15,85.0,5,Christopher Simmons
5.0,16.0,15,84.5,5,Christopher Simmons
5.0,17.0,15,91.0,5,Christopher Simmons
6.0,2.0,12,86.0,6,Brian Fowler
6.0,9.0,12,71.0,6,Brian Fowler
6.0,10.0,12,78.0,6,Brian Fowler
6.0,14.0,12,83.67,6,Brian Fowler
6.0,15.0,12,88.0,6,Brian Fowler
6.0,16.0,12,90.0,6,Brian Fowler
6.0,17.0,12,93.0,6,Brian Fowler
7.0,2.0,10,78.0,7,Nicholas Marshall
7.0,4.0,10,79.0,7,Nicholas Marshall
7.0,8.0,10,83.0,7,Nicholas Marshall
7.0,10.0,10,91.0,7,Nicholas Marshall
7.0,16.0,10,90.0,7,Nicholas Marshall
7.0,17.0,10,88.0,7,Nicholas Marshall
7.0,19.0,10,78.0,7,Nicholas Marshall
8.0,1.0,10,80.0,8,Crystal Horton
8.0,2.0,10,83.8,8,Crystal Horton
8.0,5.0,10,73.0,8,Crystal Horton
8.0,9.0,10,77.0,8,Crystal Horton
8.0,16.0,10,87.0,8,Crystal Horton
8.0,17.0,10,86.0,8,Crystal Horton
9.0,1.0,14,87.0,9,Gregory Bailey
9.0,2.0,14,78.4,9,Gregory Bailey
9.0,3.0,14,70.0,9,Gregory Bailey
9.0,4.0,14,87.0,9,Gregory Bailey
9.0,9.0,14,86.0,9,Gregory Bailey
9.0,15.0,14,67.0,9,Gregory Bailey
9.0,16.0,14,78.0,9,Gregory Bailey
9.0,17.0,14,80.0,9,Gregory Bailey
9.0,20.0,14,71.0,9,Gregory Bailey
10.0,1.0,13,78.5,10,Joshua Hicks
10.0,2.0,13,81.25,10,Joshua Hicks
10.0,3.0,13,76.0,10,Joshua Hicks
10.0,13.0,13,72.0,10,Joshua Hicks
10.0,15.0,13,73.0,10,Joshua Hicks
10.0,16.0,13,81.0,10,Joshua Hicks
10.0,17.0,13,82.5,10,Joshua Hicks
10.0,20.0,13,73.0,10,Joshua Hicks
11.0,1.0,10,91.0,11,Gabrielle Sanford
11.0,2.0,10,83.75,11,Gabrielle Sanford
11.0,3.0,10,82.0,11,Gabrielle Sanford
11.0,4.0,10,91.0,11,Gabrielle Sanford
11.0,6.0,10,77.0,11,Gabrielle Sanford
11.0,17.0,10,80.0,11,Gabrielle Sanford
11.0,19.0,10,88.0,11,Gabrielle Sanford
12.0,2.0,11,78.75,12,Charles Owen
12.0,10.0,11,84.0,12,Charles Owen
12.0,14.0,11,82.0,12,Charles Owen
12.0,16.0,11,69.0,12,Charles Owen
12.0,17.0,11,76.0,12,Charles Owen
12.0,20.0,11,85.5,12,Charles Owen
13.0,1.0,14,78.5,13,Elizabeth Williams
13.0,2.0,14,80.0,13,Elizabeth Williams
13.0,3.0,14,86.0,13,Elizabeth Williams
13.0,8.0,14,94.0,13,Elizabeth Williams
13.0,10.0,14,85.0,13,Elizabeth Williams
13.0,12.0,14,79.0,13,Elizabeth Williams
13.0,13.0,14,74.0,13,Elizabeth Williams
13.0,14.0,14,96.0,13,Elizabeth Williams
13.0,17.0,14,80.0,13,Elizabeth Williams
13.0,19.0,14,83.0,13,Elizabeth Williams
14.0,1.0,10,92.0,14,Mary Ward
14.0,2.0,10,82.0,14,Mary Ward
14.0,10.0,10,72.0,14,Mary Ward
14.0,13.0,10,77.0,14,Mary Ward
14.0,17.0,10,75.0,14,Mary Ward
14.0,19.0,10,83.0,14,Mary Ward
15.0,2.0,15,78.25,15,Brad Hanson
15.0,3.0,15,75.0,15,Brad Hanson
15.0,4.0,15,86.0,15,Brad Hanson
15.0,5.0,15,93.0,15,Brad Hanson
15.0,7.0,15,76.0,15,Brad Hanson
15.0,8.0,15,85.0,15,Brad Hanson
15.0,11.0,15,86.0,15,Brad Hanson
15.0,15.0,15,79.0,15,Brad Hanson
15.0,16.0,15,76.0,15,Brad Hanson
15.0,17.0,15,80.0,15,Brad Hanson
15.0,20.0,15,89.0,15,Brad Hanson
16.0,2.0,11,79.5,16,Stanley Wilkins
16.0,8.0,11,76.0,16,Stanley Wilkins
16.0,9.0,11,90.0,16,Stanley Wilkins
16.0,12.0,11,89.0,16,Stanley Wilkins
16.0,14.0,11,80.0,16,Stanley Wilkins
16.0,17.0,11,73.5,16,Stanley Wilkins
16.0,20.0,11,83.0,16,Stanley Wilkins
17.0,2.0,14,78.6,17,Ana Woodard
17.0,4.0,14,78.0,17,Ana Woodard
17.0,5.0,14,79.0,17,Ana Woodard
17.0,6.0,14,80.0,17,Ana Woodard
17.0,8.0,14,92.0,17,Ana Woodard
17.0,12.0,14,85.0,17,Ana Woodard
17.0,15.0,14,72.0,17,Ana Woodard
17.0,17.0,14,86.0,17,Ana Woodard
17.0,20.0,14,71.0,17,Ana Woodard
18.0,1.0,10,81.5,18,Megan Nolan
18.0,2.0,10,84.0,18,Megan Nolan
18.0,5.0,10,69.0,18,Megan Nolan
18.0,9.0,10,66.0,18,Megan Nolan
18.0,17.0,10,91.0,18,Megan Nolan
