id_user,name,designation,role,id_summary,user_id,average_rating,learning_path_id
1,Alan Hernandez,Mobile App Engineer,employee,1.0,1.0,83.2,2.0
1,Alan Hernandez,Mobile App Engineer,employee,2.0,1.0,78.0,17.0
1,Alan Hernandez,Mobile App Engineer,employee,3.0,1.0,68.0,13.0
1,Alan Hernandez,Mobile App Engineer,employee,4.0,1.0,83.0,1.0
1,Alan Hernandez,Mobile App Engineer,employee,5.0,1.0,74.0,19.0
1,Alan Hernandez,Mobile App Engineer,employee,6.0,1.0,83.0,18.0
2,Lisa Stevens,Front-end Engineer,employee,7.0,2.0,76.75,2.0
2,Lisa Stevens,Front-end Engineer,employee,8.0,2.0,83.5,17.0
2,Lisa Stevens,Front-end Engineer,employee,9.0,2.0,78.0,20.0
2,Lisa Stevens,Front-end Engineer,employee,10.0,2.0,72.0,18.0
2,Lisa Stevens,Front-end Engineer,employee,11.0,2.0,74.0,8.0
2,Lisa Stevens,Front-end Engineer,employee,12.0,2.0,87.5,6.0
2,Lisa Stevens,Front-end Engineer,employee,13.0,2.0,75.0,12.0
2,Lisa Stevens,Front-end Engineer,employee,14.0,2.0,86.0,19.0
2,Lisa Stevens,Front-end Engineer,employee,15.0,2.0,86.0,13.0
3,James Lewis,Front-end Engineer,employee,16.0,3.0,77.4,2.0
3,James Lewis,Front-end Engineer,employee,17.0,3.0,83.0,17.0
3,James Lewis,Front-end Engineer,employee,18.0,3.0,69.0,4.0
3,James Lewis,Front-end Engineer,employee,19.0,3.0,88.0,8.0
3,James Lewis,Front-end Engineer,employee,20.0,3.0,85.0,6.0
3,James Lewis,Front-end Engineer,employee,21.0,3.0,78.0,15.0
4,Tyler Hampton,Mobile App Engineer,employee,22.0,4.0,78.75,2.0
4,Tyler Hampton,Mobile App Engineer,employee,23.0,4.0,82.0,17.0
4,Tyler Hampton,Mobile App Engineer,employee,24.0,4.0,71.0,14.0
4,Tyler Hampton,Mobile App Engineer,employee,25.0,4.0,75.0,4.0
4,Tyler Hampton,Mobile App Engineer,employee,26.0,4.0,72.0,16.0
4,Tyler Hampton,Mobile App Engineer,employee,27.0,4.0,76.5,3.0
4,Tyler Hampton,Mobile App Engineer,employee,28.0,4.0,69.0,9.0
4,Tyler Hampton,Mobile App Engineer,employee,29.0,4.0,95.0,13.0
4,Tyler Hampton,Mobile App Engineer,employee,30.0,4.0,74.0,19.0
5,Christopher Simmons,Back-end Engineer,employee,31.0,5.0,72.0,2.0
5,Christopher Simmons,Back-end Engineer,employee,32.0,5.0,91.0,17.0
5,Christopher Simmons,Back-end Engineer,employee,33.0,5.0,85.0,14.0
5,Christopher Simmons,Back-end Engineer,employee,34.0,5.0,77.0,6.0
5,Christopher Simmons,Back-end Engineer,employee,35.0,5.0,76.0,7.0
5,Christopher Simmons,Back-end Engineer,employee,36.0,5.0,82.0,8.0
5,Christopher Simmons,Back-end Engineer,employee,37.0,5.0,84.5,16.0
5,Christopher Simmons,Back-end Engineer,employee,38.0,5.0,83.0,13.0
5,Christopher Simmons,Back-end Engineer,employee,39.0,5.0,93.0,5.0
5,Christopher Simmons,Back-end Engineer,employee,40.0,5.0,75.0,11.0
6,Brian Fowler,Security Engineer,employee,41.0,6.0,86.0,2.0
6,Brian Fowler,Security Engineer,employee,42.0,6.0,93.0,17.0
6,Brian Fowler,Security Engineer,employee,43.0,6.0,90.0,16.0
6,Brian Fowler,Security Engineer,employee,44.0,6.0,83.67,14.0
6,Brian Fowler,Security Engineer,employee,45.0,6.0,88.0,15.0
6,Brian Fowler,Security Engineer,employee,46.0,6.0,71.0,9.0
6,Brian Fowler,Security Engineer,employee,47.0,6.0,78.0,10.0
7,Nicholas Marshall,Network Engineer,employee,48.0,7.0,78.0,2.0
7,Nicholas Marshall,Network Engineer,employee,49.0,7.0,88.0,17.0
7,Nicholas Marshall,Network Engineer,employee,50.0,7.0,90.0,16.0
7,Nicholas Marshall,Network Engineer,employee,51.0,7.0,91.0,10.0
7,Nicholas Marshall,Network Engineer,employee,52.0,7.0,79.0,4.0
7,Nicholas Marshall,Network Engineer,employee,53.0,7.0,78.0,19.0
7,Nicholas Marshall,Network Engineer,employee,54.0,7.0,83.0,8.0
8,Crystal Horton,Cloud Engineer,employee,55.0,8.0,86.0,17.0
8,Crystal Horton,Cloud Engineer,employee,56.0,8.0,83.8,2.0
8,Crystal Horton,Cloud Engineer,employee,57.0,8.0,73.0,5.0
8,Crystal Horton,Cloud Engineer,employee,58.0,8.0,77.0,9.0
8,Crystal Horton,Cloud Engineer,employee,59.0,8.0,87.0,16.0
8,Crystal Horton,Cloud Engineer,employee,60.0,8.0,80.0,1.0
9,Gregory Bailey,DevOps Engineer,employee,61.0,9.0,78.4,2.0
9,Gregory Bailey,DevOps Engineer,employee,62.0,9.0,80.0,17.0
9,Gregory Bailey,DevOps Engineer,employee,63.0,9.0,71.0,20.0
9,Gregory Bailey,DevOps Engineer,employee,64.0,9.0,87.0,4.0
9,Gregory Bailey,DevOps Engineer,employee,65.0,9.0,67.0,15.0
9,Gregory Bailey,DevOps Engineer,employee,66.0,9.0,86.0,9.0
9,Gregory Bailey,DevOps Engineer,employee,67.0,9.0,87.0,1.0
9,Gregory Bailey,DevOps Engineer,employee,68.0,9.0,70.0,3.0
9,Gregory Bailey,DevOps Engineer,employee,69.0,9.0,78.0,16.0
10,Joshua Hicks,Data Engineer,employee,70.0,10.0,82.5,17.0
10,Joshua Hicks,Data Engineer,employee,71.0,10.0,81.25,2.0
10,Joshua Hicks,Data Engineer,employee,72.0,10.0,78.5,1.0
10,Joshua Hicks,Data Engineer,employee,73.0,10.0,81.0,16.0
10,Joshua Hicks,Data Engineer,employee,74.0,10.0,76.0,3.0
10,Joshua Hicks,Data Engineer,employee,75.0,10.0,72.0,13.0
10,Joshua Hicks,Data Engineer,employee,76.0,10.0,73.0,20.0
10,Joshua Hicks,Data Engineer,employee,77.0,10.0,73.0,15.0
11,Gabrielle Sanford,Data Engineer,employee,78.0,11.0,83.75,2.0
11,Gabrielle Sanford,Data Engineer,employee,79.0,11.0,80.0,17.0
11,Gabrielle Sanford,Data Engineer,employee,80.0,11.0,88.0,19.0
11,Gabrielle Sanford,Data Engineer,employee,81.0,11.0,82.0,3.0
11,Gabrielle Sanford,Data Engineer,employee,82.0,11.0,77.0,6.0
11,Gabrielle Sanford,Data Engineer,employee,83.0,11.0,91.0,1.0
11,Gabrielle Sanford,Data Engineer,employee,84.0,11.0,91.0,4.0
